SMILES,Name,Cluster
CCC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1,16741133,14
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101303273,1
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504126,20
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319242,16
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,36638719,20
CCCCOc1cccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c1,101310486,16
CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)c(C)c1,16741027,14
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(OC)ccc1OC,32504190,20
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,101300893,7
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101309903,7
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(Cl)ccc1Cl,101315917,22
CC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1F,101061331,14
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Cl)c1)[C@@H]1CCCO1,17967322,14
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)c(C)c1,101319244,16
CCC(CC)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCO2,101318032,18
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Br)cc1)C1CC1,101075781,14
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@@H]32)cc1Cl,101316302,14
Cc1cccc(C)c1N1/C(=N\C(=O)CCCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101309902,7
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,245228920,20
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC(F)(F)F)cc1,101315701,16
CCCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,32504130,20
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1C(F)(F)F,101308474,16
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cc(Cl)ccc1Cl,101315918,22
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)c1C,101310643,7
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1c(Cl)cccc1Cl,101303829,22
CC(=O)/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)c(C)c1,16741029,14
COc1ccc(OC)c(N2/C(=N\C(=O)C(C)(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,32504110,20
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)cc1C,101318111,7
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101312907,7
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cc(Cl)ccc1Cl,101315915,22
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,32506933,20
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c1,101304571,20
CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1,32634578,14
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@H]21,101316998,1
Cc1cccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@H]3CS(=O)(=O)C[C@@H]32)c1C,101310645,7
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC)cc1OC,245228985,20
COc1ccc(OC)c(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@@H]32)c1,101304575,20
CCCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32506939,20
CCC(=O)/N=C1\S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Br)cc1,16741134,14
CC[C@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cc(OC)ccc1OC,36638580,20
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1C(F)(F)F,101308479,16
COc1ccc(N2/C(=N\C(=O)CC(C)C)S[C@H]3CS(=O)(=O)C[C@H]32)c(OC)c1,5341734,20
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1Cl,101299095,7
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc(OC(F)(F)F)cc1,101315700,16
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1)[C@@H]1CCCO1,15894436,14
Cc1ccc(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1C,101318118,7
O=C(O)CCCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1Cl,101299091,7
CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1,32634576,14
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@H]21,101316580,1
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1c(Cl)cccc1Cl,101303825,22
COc1ccc(N2/C(=N\C(=O)C(C)(C)C)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(OC)c1,101312609,20
CC[C@@H](C)C(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(OC)cc1OC,32507002,20
O=C(/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1)C1CC1,101104076,14
CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Br)c1,32634577,14
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@H]32)cc1,101301367,16
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1Cl,101308830,22
COCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc(Cl)cc1Cl,101308837,22
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1,101301371,16
Cc1ccc(Cl)cc1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101303281,1
O=C(O)CCCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1Cl,101299104,7
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@H]3CS(=O)(=O)C[C@@H]32)cc1Cl,101316300,14
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1)[C@H]1CCCO1,105349850,14
O=C(/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1cccc(Br)c1)C1CC1,101104071,14
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,101319243,16
COCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccc(Cl)cc1Cl,101308826,22
O=C(/N=C1\S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1)[C@@H]1CCCO1,15894449,14
CCN(CC)c1ccc(N2/C(=N\C(=O)CC#N)S[C@@H]3CS(=O)(=O)C[C@@H]32)c(C)c1,101319245,16
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@@H]2CS(=O)(=O)C[C@@H]21,101317005,1
O=C(COc1ccccc1)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,101310876,16
COc1ccc(N2/C(=N\C(=O)C3CC3)S[C@@H]3CS(=O)(=O)C[C@H]32)cc1Cl,101316301,14
O=C(COc1ccccc1)/N=C1/S[C@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,5302785,16
N#CCC(=O)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(C(F)(F)F)c1,101311449,16
CCC(CC)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccc2c(c1)OCO2,101318033,18
N#CCC(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(C(F)(F)F)c1,101311452,16
CC(C)c1ccc(N2/C(=N\C(=O)CCC(=O)O)S[C@H]3CS(=O)(=O)C[C@H]32)cc1,101302219,1
CCc1cccc(CC)c1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101317000,1
Cc1ccc(C)c(N2/C(=N\C(=O)CCCC(=O)O)S[C@@H]3CS(=O)(=O)C[C@@H]32)c1,101312911,7
CC(C)c1ccccc1N1/C(=N\C(=O)CCC(=O)O)S[C@H]2CS(=O)(=O)C[C@@H]21,101316579,1
O=C(COc1ccccc1)/N=C1/S[C@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,15894463,16
